sim_to_OFF,sim_to_NOT,escaped
0.81560284,0.56316686,False
0.9906366,0.5906826,False
0.84161437,0.6275996,False
0.9742495,0.5859557,False
0.98969513,0.36611632,False
0.87676466,0.5466121,False
0.9474151,0.9474151,False
0.9985057,0.5294126,False
0.92357457,0.52767134,False
0.86857593,0.5173026,False
0.9442327,0.58816516,False
0.9944844,0.6337404,False
0.9882439,0.4148705,False
0.9996524,0.59590656,False
0.9996174,0.4344126,False
0.95945495,0.72727054,False
0.9902804,0.59591913,False
0.9967694,0.5623301,False
0.8489313,0.51888835,False
0.78641444,0.4591784,False
0.90857625,0.3589211,False
0.950001,0.5499724,False
0.8550225,0.4239574,False
0.97852325,0.71464694,False
0.9924392,0.6447348,False
0.99733096,0.46600014,False
0.93246704,0.52433795,False
0.9594774,0.5658273,False
0.8741173,0.5249446,False
0.9270546,0.6900978,False
0.9925844,0.503963,False
0.89360297,0.6440974,False
0.99586165,0.564687,False
0.79533315,0.52196884,False
0.9317895,0.6810488,False
0.9967941,0.4789436,False
0.9227171,0.58743024,False
0.99889416,0.6245369,False
0.99808913,0.68977374,False
0.8970038,0.5822364,False
0.9357223,0.65094143,False
0.995556,0.7583928,False
0.97210133,0.40930486,False
0.8819214,0.46312875,False
0.9959066,0.42901105,False
0.8059181,0.53256714,False
0.81658953,0.429977,False
0.99983037,0.6229864,False
0.9849663,0.66340584,False
0.89942265,0.44671333,False
0.9769747,0.40813738,False
0.98986745,0.40668756,False
0.99189323,0.76370555,False
0.90053225,0.7378144,False
0.977847,0.47223264,False
0.9587599,0.58590627,False
0.82601255,0.46545878,False
0.7997719,0.45499945,False
0.97506475,0.665159,False
0.84191656,0.6840111,False
0.9305178,0.61569464,False
0.9206486,0.6536845,False
0.9989817,0.4359809,False
0.8684543,0.5578304,False
0.9846507,0.3756258,False
0.91521883,0.5479293,False
0.9999691,0.4025345,False
0.99766284,0.44908726,False
0.9864034,0.5398457,False
0.97117877,0.63170266,False
0.9708481,0.43659857,False
0.984856,0.6276779,False
0.99951935,0.468849,False
0.8473545,0.5603645,False
0.9027575,0.5092628,False
0.85143554,0.52574307,False
0.9980787,0.46525773,False
0.9128917,0.7186985,False
0.9461025,0.6202165,False
0.9998705,0.54649675,False
0.8521302,0.6255013,False
0.7782692,0.5869638,False
0.97495127,0.65570784,False
0.9663255,0.599589,False
0.92791057,0.56779444,False
0.91950244,0.4448197,False
0.9413793,0.7489604,False
0.9583715,0.52566594,False
0.8230392,0.53604436,False
0.80838865,0.59555703,False
0.9862226,0.56967354,False
0.933784,0.5554667,False
0.8143118,0.65283066,False
0.7701404,0.56044495,False
0.9998051,0.62382066,False
0.8265239,0.5554476,False
0.8187871,0.4175979,False
0.9933684,0.6448686,False
0.80023056,0.5419925,False
0.83491206,0.5451187,False
0.9994449,0.5466707,False
0.9262141,0.45418954,False
0.85615027,0.48643214,False
0.76933706,0.54587734,False
0.97846645,0.5724499,False
0.93316233,0.4549737,False
0.931937,0.65110385,False
0.9991442,0.6085013,False
0.9295074,0.59222364,False
0.7454556,0.56129926,False
0.999851,0.6304406,False
0.8516939,0.6791086,False
0.8762164,0.46538624,False
0.9999981,0.9999981,False
0.84638655,0.6256328,False
0.92390585,0.5152462,False
0.9998992,0.6215812,False
0.83523226,0.41838175,False
0.85239375,0.48518014,False
0.99739385,0.7314645,False
0.9170292,0.6219831,False
0.99379134,0.46297795,False
0.9393389,0.4479637,False
0.99970436,0.633399,False
0.99674726,0.5098849,False
0.99597865,0.5766825,False
0.78018415,0.613013,False
0.9188773,0.52781254,False
0.78964514,0.51990247,False
0.86771905,0.5792128,False
0.86718565,0.6604054,False
0.8626033,0.5083066,False
0.989274,0.50915486,False
0.9357881,0.62064457,False
0.97912824,0.62721217,False
0.8634912,0.44416302,False
0.92652494,0.5799267,False
0.9904163,0.5712483,False
0.8847075,0.46493673,False
0.9750165,0.70344543,False
0.98902404,0.4356675,False
0.9999259,0.43678507,False
0.84853697,0.5620736,False
0.9345043,0.45555067,False
0.97916836,0.48296458,False
0.95448875,0.57042986,False
0.9999091,0.7709441,False
0.99990857,0.41694152,False
0.8652526,0.48756966,False
0.97210467,0.47495276,False
0.9896854,0.6501876,False
0.9580174,0.64460146,False
