sim_to_OFF,sim_to_NOT,escaped
0.998697,0.4771014,False
0.9376991,0.7656484,False
0.9959777,0.5901376,False
0.92407465,0.5955675,False
0.9721105,0.64987373,False
0.9898812,0.4234776,False
0.94549835,0.8069072,False
0.9858888,0.7704679,False
0.99216056,0.6334337,False
0.97548956,0.43309855,False
0.9877782,0.6403967,False
0.9995672,0.66450435,False
0.93250585,0.66003203,False
0.95955396,0.59416044,False
0.97839135,0.59189093,False
0.9975861,0.6250814,False
0.9009099,0.44228506,False
0.92752814,0.582338,False
0.999882,0.5796939,False
0.89463,0.42147893,False
0.99998486,0.99998486,False
0.90772235,0.5743911,False
0.99650407,0.52868253,False
0.9892018,0.6215837,False
0.99275684,0.6258173,False
0.9555702,0.53859675,False
0.99258935,0.6976392,False
0.9967918,0.64080024,False
0.99644536,0.6750202,False
0.97634816,0.61115026,False
0.9629903,0.69360775,False
0.9855627,0.39044338,False
0.9975839,0.59302074,False
0.99884117,0.7711136,False
0.9993688,0.5870129,False
0.96944124,0.48604983,False
0.9637706,0.6557236,False
0.932298,0.5010541,False
0.99807703,0.6157846,False
0.9992839,0.43511403,False
0.896058,0.7174201,False
0.98216903,0.7508575,False
0.9988174,0.55580616,False
0.9874651,0.6710647,False
0.88280976,0.7694073,False
0.9159514,0.64671725,False
0.99655914,0.58354414,False
0.902421,0.62735784,False
0.9968866,0.49616805,False
0.999069,0.46081823,False
0.97541684,0.65607613,False
0.99583423,0.5947482,False
0.96172875,0.6898327,False
0.9550835,0.4128856,False
0.9991838,0.6397578,False
0.9090383,0.729403,False
0.8920824,0.7580198,False
0.9935626,0.59461594,False
0.98020554,0.6154566,False
0.99995947,0.69878167,False
0.993645,0.7136698,False
0.98392504,0.5013299,False
0.9661139,0.6151955,False
0.9511796,0.51143557,False
0.99774367,0.5393096,False
0.922981,0.53871715,False
0.96361065,0.6406138,False
0.96018815,0.5474777,False
0.999511,0.7002442,False
0.92899966,0.7071073,False
0.9928173,0.62604606,False
0.9999048,0.49326092,False
0.9086937,0.50810385,False
0.92808735,0.6030801,False
0.97736126,0.56224954,False
0.9225641,0.7217535,False
0.97245044,0.6221357,False
0.9238096,0.51547766,False
0.9847287,0.4778567,False
0.9558502,0.656101,False
0.8560343,0.46983546,False
0.9507607,0.7039634,False
0.9931023,0.5327928,False
0.91058224,0.67413163,False
0.9042957,0.61411345,False
0.97545445,0.60299635,False
0.9945494,0.46236926,False
0.9984048,0.70696247,False
0.95826393,0.66462135,False
0.9271711,0.70873964,False
0.82281065,0.51711226,False
0.86901796,0.6635212,False
0.9719649,0.64442277,False
0.93899846,0.79867667,False
0.9998607,0.35103607,False
0.9999367,0.48156646,False
0.99024093,0.74811304,False
0.9802989,0.44296983,False
0.94214594,0.5076808,False
0.93481416,0.6953689,False
0.9832429,0.5640365,False
0.9771198,0.61030567,False
0.85707736,0.5628369,False
0.9813169,0.6772625,False
0.93813366,0.54948044,False
0.91580945,0.7793466,False
0.9996081,0.72125804,False
0.9103295,0.5266286,False
